id,termino,titular,fecha,duracion,enlace
5c5c0e3b7ed1a8e10c5260a8,futbol femenino,Más de Uno. Mallorca 07/02/2019,2019-02-07,0:09:52,https://www.ondacero.es/emisoras/baleares/mallorca/audios-podcast/noticias-illes-balears/mas-de-uno-mallorca-07022019_201902075c5c0ec40cf24ca87afa160d.html
5be1c3b27ed1a8b5f84f2913,futbol femenino,Ellas Juegan 02x10: Comienza la preparación de la Selección para el Mundial 2019,2018-11-06,0:43:30.264000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x10-comienza-la-preparacion-de-la-seleccion-para-el-mundial-2019_201811065be1c4810cf244c2fc15796c.html
5bcefebf7ed1a813cf643745,futbol femenino,"Ellas Juegan 02x08: Irene  Ferreras, segunda mujer en los banquillos de la Liga Iberdrola",2018-10-23,1:02:35.856000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x08-irene-ferreras-segunda-mujer-en-los-banquillos-de-la-liga-iberdrola_201810235bcf013f0cf2cccaccb4a1c1.html
5d573b377ed1a84ae55a84f8,futbol femenino,"Alba Palacio, futbolista transexual: ""Le doy gracias al club de Las Rozas por darme la oportunidad""",2019-08-16,0:13:59,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/alba-palacio_201908175d573c3d0cf23ac3a6dd5ade.html
61cc324e4beb28bd9faf0e3d,futbol femenino,"María Ruiz: ""Es un orgullo que el campo muinicipal de Almáchar lleve mi nombre""",2021-12-29,0:07:08,https://www.ondacero.es/emisoras/andalucia/malaga/audios-podcast/onda-deportiva-malaga/maria-ruiz-orgullo-que-campo-muinicipal-almachar-lleve-nombre_2021122961cc32d4192fe40001da20d2.html
5b3385277ed1a8c72d49ab48,futbol femenino,La Rioja en la Onda Deportes 27/06/2018,2018-06-27,0:10:50.016000,https://www.ondacero.es/emisoras/rioja/rioja/audios-podcast/onda-deportiva-la-rioja/la-rioja-en-la-onda-deportes-27062018_201806275b3386b10cf2ac5d6856d04d.html
5d9c91887ed1a8804b71542b,futbol femenino,"Ellas Juegan 03x06 | Lluis Cortés: ""La presión por ganar la Liga no debe convertirse en una obsesión""",2019-10-08,0:29:13.896000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/03x06-lluis-cortes-presion-ganar-liga-obsesion_201910085d9c95770cf21369caaa6cb8.html
5d8e46237ed1a84dd0222cab,futbol femenino,Fútbol 948 27/09/2019,2019-09-27,0:09:28.248000,https://www.ondacero.es/emisoras/navarra/pamplona/audios-podcast/la-brujula/futbol-948-27092019_201909275d8e46620cf260a8c23641ca.html
5c3dc7ee7ed1a8fca150fedb,futbol femenino,Ellas Juegan 02x17: Comienza la era Lluis Cortés en el Barça,2019-01-15,0:58:44.592000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x17-comienza-la-era-lluis-cortes-en-el-barca_201901155c3dca950cf28b07715cf7eb.html
5c9a47bb7ed1a8fd98eb0f6d,futbol femenino,"Ellas Juegan 02x27: ""Cuando metes un gol a tu hermana""",2019-03-26,0:47:32.736000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x27-cuando-metes-un-gol-a-tu-hermana_201903265c9a49400cf268682987f471.html
